dataset,N,N_indexed,query_id,method,step,node_id,node_type,is_revoked,access_predicate_checked,distance_scored,frontier_inserted,node_expanded,result_returned,bypass_edge_used,frontier_size_after_step,candidate_score
LegalBench-RAG,1200000,1200000,0,Tombstone,1,authorized_0_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,0,Tombstone,2,authorized_0_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,0,Tombstone,3,authorized_0_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,0,Tombstone,4,revoked_bridge_0_4,revoked_bridge,True,False,True,True,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,0,Tombstone,5,revoked_bridge_0_5,revoked_bridge,True,False,True,True,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,0,Tombstone,6,authorized_0_6,authorized,False,False,True,True,True,False,False,26,0.65
LegalBench-RAG,1200000,1200000,0,Tombstone,7,authorized_0_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,0,Tombstone,8,authorized_0_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,0,Tombstone,9,authorized_0_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,0,Tombstone,10,authorized_0_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,0,Tombstone,11,authorized_0_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,0,Tombstone,12,authorized_0_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,0,Lethe,1,authorized_0_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,0,Lethe,2,authorized_0_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,0,Lethe,3,authorized_0_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,0,Lethe,4,revoked_bridge_0_4,revoked_bridge,True,True,False,False,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,0,Lethe,5,revoked_bridge_0_5,revoked_bridge,True,True,False,False,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,0,Lethe,6,authorized_0_6,authorized,False,False,True,True,True,False,True,26,0.65
LegalBench-RAG,1200000,1200000,0,Lethe,7,authorized_0_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,0,Lethe,8,authorized_0_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,0,Lethe,9,authorized_0_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,0,Lethe,10,authorized_0_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,0,Lethe,11,authorized_0_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,0,Lethe,12,authorized_0_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,1,Tombstone,1,authorized_1_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,1,Tombstone,2,authorized_1_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,1,Tombstone,3,authorized_1_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,1,Tombstone,4,revoked_bridge_1_4,revoked_bridge,True,False,True,True,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,1,Tombstone,5,revoked_bridge_1_5,revoked_bridge,True,False,True,True,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,1,Tombstone,6,authorized_1_6,authorized,False,False,True,True,True,False,False,26,0.65
LegalBench-RAG,1200000,1200000,1,Tombstone,7,authorized_1_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,1,Tombstone,8,authorized_1_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,1,Tombstone,9,authorized_1_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,1,Tombstone,10,authorized_1_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,1,Tombstone,11,authorized_1_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,1,Tombstone,12,authorized_1_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,1,Lethe,1,authorized_1_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,1,Lethe,2,authorized_1_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,1,Lethe,3,authorized_1_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,1,Lethe,4,revoked_bridge_1_4,revoked_bridge,True,True,False,False,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,1,Lethe,5,revoked_bridge_1_5,revoked_bridge,True,True,False,False,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,1,Lethe,6,authorized_1_6,authorized,False,False,True,True,True,False,True,26,0.65
LegalBench-RAG,1200000,1200000,1,Lethe,7,authorized_1_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,1,Lethe,8,authorized_1_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,1,Lethe,9,authorized_1_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,1,Lethe,10,authorized_1_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,1,Lethe,11,authorized_1_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,1,Lethe,12,authorized_1_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,2,Tombstone,1,authorized_2_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,2,Tombstone,2,authorized_2_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,2,Tombstone,3,authorized_2_3,authorized,False,False,True,True,True,False,False,23,0.35
LegalBench-RAG,1200000,1200000,2,Tombstone,4,revoked_bridge_2_4,revoked_bridge,True,False,True,True,False,False,False,24,0.45
LegalBench-RAG,1200000,1200000,2,Tombstone,5,revoked_bridge_2_5,revoked_bridge,True,False,True,True,False,False,False,25,0.55
LegalBench-RAG,1200000,1200000,2,Tombstone,6,authorized_2_6,authorized,False,False,True,True,True,False,False,26,0.65
LegalBench-RAG,1200000,1200000,2,Tombstone,7,authorized_2_7,authorized,False,False,True,True,False,False,False,27,0.75
LegalBench-RAG,1200000,1200000,2,Tombstone,8,authorized_2_8,authorized,False,False,True,True,False,False,False,28,0.85
LegalBench-RAG,1200000,1200000,2,Tombstone,9,authorized_2_9,authorized,False,False,True,True,True,False,False,29,0.95
LegalBench-RAG,1200000,1200000,2,Tombstone,10,authorized_2_10,authorized,False,False,True,True,False,True,False,30,1.05
LegalBench-RAG,1200000,1200000,2,Tombstone,11,authorized_2_11,authorized,False,False,True,True,False,True,False,31,1.15
LegalBench-RAG,1200000,1200000,2,Tombstone,12,authorized_2_12,authorized,False,False,True,True,True,True,False,32,1.25
LegalBench-RAG,1200000,1200000,2,Lethe,1,authorized_2_1,authorized,False,False,True,True,False,False,False,21,0.15
LegalBench-RAG,1200000,1200000,2,Lethe,2,authorized_2_2,authorized,False,False,True,True,False,False,False,22,0.25
LegalBench-RAG,1200000,1200000,2,Lethe,3,authorized_2_3,authorized,False,False,True,True,True,False,False,23,0.35
