dataset,method,em,f1,llm,prompt_id,task_subset,generator_model,embedding_model,chunk_size,chunk_overlap,top_k,prompt_template,temperature,decoding,sample_size,unauthorized_context_count,retrieval_recall_at_10,mrr,ndcg
LegalBench-RAG,ACORN,0.406409,0.537746,pinned-open-generator-7b,0,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.946009,0.734509,0.792354
LegalBench-RAG,ACORN,0.411738,0.537369,pinned-open-generator-7b,1,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.943822,0.726781,0.790145
LegalBench-RAG,ACORN,0.403742,0.528696,pinned-open-generator-7b,2,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.931649,0.716802,0.780492
LegalBench-RAG,ACORN,0.402058,0.533878,pinned-open-generator-7b,3,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.940007,0.725299,0.792101
LegalBench-RAG,ACORN,0.401233,0.538983,pinned-open-generator-7b,4,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.939563,0.725844,0.79032
LegalBench-RAG,ACORN,0.407788,0.540519,pinned-open-generator-7b,5,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.94208,0.731054,0.795118
LegalBench-RAG,ACORN,0.396335,0.543837,pinned-open-generator-7b,6,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.944793,0.742448,0.806612
LegalBench-RAG,ACORN,0.411003,0.534864,pinned-open-generator-7b,7,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.944141,0.733688,0.793437
LegalBench-RAG,ACORN,0.407594,0.539043,pinned-open-generator-7b,8,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.938315,0.73,0.794857
LegalBench-RAG,ACORN,0.408111,0.547496,pinned-open-generator-7b,9,confidential_qa,pinned-open-generator-7b,BGE-large-en-v1.5,512,64,10,fixed_rag_prompt_v1,0.0,greedy,500,0,0.951712,0.73379,0.804065
