dataset,N,N_indexed,method,test_case,seed,leakage_after_recovery,recall_after_recovery,falls_back_to_safe_mode,audit_pass,revocation_linearization_point,latency_overhead_pct_under_concurrent_revocations,crash_point,recovery_replay_records,recovery_steps,recovery_latency_ms,predicate_log_replayed,overlay_log_replayed,audit_log_replayed,key_state_checked,recovery_idempotence_check_passed,pre_recovery_state_incomplete,post_recovery_safe_state_hash,recovery_path_signature,convergence_semantics,final_state_convergence_class,audit_correct_response_applicable,safe_mode_correct_response_applicable,full_recovery_correctness_applicable,zero_leakage_recovery_applicable,audit_raw_outcome,safe_mode_raw_outcome,audit_correct_response,leakage_correct_response,safe_mode_correct_response,full_recovery_correct_response,claim_aligned_recovery_outcome
LegalBench-RAG,1200000,1200000,Lethe,query_before_commit,0,0.0,0.976,False,True,predicate_commit,6.5,crash_after_key_destruction,49,4,27.228346,1,0,0,1,True,True,05346d936922b882,13f94a6f1c233948,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,query_before_commit,1,0.0,0.976,False,True,predicate_commit,6.5,crash_after_predicate_update,68,7,39.187749,1,0,0,1,True,True,05346d936922b882,a263a8a68db3f3b7,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,query_before_commit,2,0.0,0.976,False,True,predicate_commit,6.5,crash_after_overlay_write,56,5,31.396956,0,1,0,1,True,True,05346d936922b882,095edb5528bff464,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,query_before_commit,3,0.0,0.976,False,True,predicate_commit,6.5,crash_after_reverse_adjacency_update,70,9,41.651671,1,0,1,1,True,True,05346d936922b882,948d7ac79593828f,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,query_before_commit,4,0.0,0.976,False,True,predicate_commit,6.5,crash_after_audit_log_append,44,3,22.619311,0,0,1,1,True,True,05346d936922b882,a5449b8ca767fbc2,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,query_after_commit,0,0.0,0.976,False,True,predicate_commit,6.5,crash_during_overlay_replay,80,9,44.686013,1,1,0,1,True,True,05346d936922b882,1337706cb5d485aa,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,query_after_commit,1,0.0,0.976,False,True,predicate_commit,6.5,crash_during_predicate_replay,89,11,51.537135,1,1,0,1,True,True,05346d936922b882,902b239173020c12,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,query_after_commit,2,0.0,0.976,False,True,predicate_commit,6.5,recovery_missing_overlay,101,14,59.705465,0,1,1,1,True,True,05346d936922b882,ba4cb4a12787c6cb,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,query_after_commit,3,0.0,0.976,False,True,predicate_commit,6.5,recovery_missing_audit_record,94,11,51.513655,1,0,1,1,True,True,05346d936922b882,29c8af0af556c851,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,query_after_commit,4,0.0,0.976,False,True,predicate_commit,6.5,crash_after_key_destruction,51,5,27.40955,1,0,0,1,True,True,05346d936922b882,4972b4f68b10dccb,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,query_overlaps_commit,0,0.0,0.976,False,True,predicate_commit,6.5,crash_after_predicate_update,64,6,33.637209,1,0,0,1,True,True,05346d936922b882,f767d1f2e6219e14,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,query_overlaps_commit,1,0.0,0.976,False,True,predicate_commit,6.5,crash_after_overlay_write,59,6,32.820173,0,1,0,1,True,True,05346d936922b882,c9fcf784b432071a,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,query_overlaps_commit,2,0.0,0.976,False,True,predicate_commit,6.5,crash_after_reverse_adjacency_update,74,9,41.338873,1,0,1,1,True,True,05346d936922b882,1bcd92ac199129dc,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,query_overlaps_commit,3,0.0,0.976,False,True,predicate_commit,6.5,crash_after_audit_log_append,43,4,23.910133,0,0,1,1,True,True,05346d936922b882,7c8785e9fee65553,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,query_overlaps_commit,4,0.0,0.976,False,True,predicate_commit,6.5,crash_during_overlay_replay,81,9,45.671245,1,1,0,1,True,True,05346d936922b882,4283f30a6ab0ec77,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,crash_after_log_intent,0,0.0,0.976,False,True,predicate_commit,6.5,crash_during_predicate_replay,89,11,50.883897,1,1,0,1,True,True,05346d936922b882,902b239173020c12,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,crash_after_log_intent,1,0.0,0.976,False,True,predicate_commit,6.5,recovery_missing_overlay,102,13,57.850778,0,1,1,1,True,True,05346d936922b882,6219734408a2b378,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,crash_after_log_intent,2,0.0,0.976,False,True,predicate_commit,6.5,recovery_missing_audit_record,99,13,58.309035,1,0,1,1,True,True,05346d936922b882,b9cf35718e904e21,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,crash_after_log_intent,3,0.0,0.976,False,True,predicate_commit,6.5,crash_after_key_destruction,52,6,29.405739,1,0,0,1,True,True,05346d936922b882,8a2d09677e6dab10,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,crash_after_log_intent,4,0.0,0.976,False,True,predicate_commit,6.5,crash_after_predicate_update,67,6,36.972806,1,0,0,1,True,True,05346d936922b882,6edb715be0317e6c,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,crash_after_overlay_build,0,0.0,0.976,False,True,predicate_commit,6.5,crash_after_overlay_write,55,5,31.275754,0,1,0,1,True,True,05346d936922b882,5b80d45be3abee24,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
LegalBench-RAG,1200000,1200000,Lethe,crash_after_overlay_build,1,0.0,0.976,False,True,predicate_commit,6.5,crash_after_reverse_adjacency_update,74,8,42.818675,1,0,1,1,True,True,05346d936922b882,d99668ec87eb436f,"scenario-specific recovery path, common safe final state",zero_leakage_safe_state,True,True,True,True,audit_passed,normal_recovery,True,True,True,True,zero-leakage recovery; audit/safe-mode response correct
