dataset,N,N_indexed,overlay_model,revocation_scope,user_type,frac,seed,p_accessible_after_revocation,score_frontier_expand_return_leakage,drift10_before_after,overlay_selected,effective_view_class_count,memory_ratio_vs_shared
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.1,0,False,0.0,0.0078,revoked-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.1,1,False,0.0,0.006286,revoked-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.1,2,False,0.0,0.008532,revoked-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.1,3,False,0.0,0.010458,revoked-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.1,4,False,0.0,0.007553,revoked-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.1,5,False,0.0,0.008927,revoked-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.1,6,False,0.0,0.008175,revoked-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.1,7,False,0.0,0.012401,revoked-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.1,8,False,0.0,0.008813,revoked-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.1,9,False,0.0,0.006739,revoked-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.1,0,True,0.0,0.00208,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.1,1,True,0.0,0.001108,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.1,2,True,0.0,0.003997,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.1,3,True,0.0,0.002173,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.1,4,True,0.0,0.000935,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.1,5,True,0.0,0.002117,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.1,6,True,0.0,0.001193,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.1,7,True,0.0,0.001574,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.1,8,True,0.0,0.003574,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.1,9,True,0.0,0.001515,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,different_role_still_authorized,0.1,0,True,0.0,0.001961,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,different_role_still_authorized,0.1,1,True,0.0,0.002312,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,different_role_still_authorized,0.1,2,True,0.0,0.001604,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,different_role_still_authorized,0.1,3,True,0.0,0.000205,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,different_role_still_authorized,0.1,4,True,0.0,0.002941,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,different_role_still_authorized,0.1,5,True,0.0,0.000939,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,different_role_still_authorized,0.1,6,True,0.0,0.00236,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,different_role_still_authorized,0.1,7,True,0.0,0.000629,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,different_role_still_authorized,0.1,8,True,0.0,0.002563,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,different_role_still_authorized,0.1,9,True,0.0,0.002191,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,ancestor_descendant_still_authorized,0.1,0,True,0.0,0.002289,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,ancestor_descendant_still_authorized,0.1,1,True,0.0,0.001511,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,ancestor_descendant_still_authorized,0.1,2,True,0.0,9.8e-05,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,ancestor_descendant_still_authorized,0.1,3,True,0.0,0.002796,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,ancestor_descendant_still_authorized,0.1,4,True,0.0,0.00071,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,ancestor_descendant_still_authorized,0.1,5,True,0.0,0.001807,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,ancestor_descendant_still_authorized,0.1,6,True,0.0,0.00418,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,ancestor_descendant_still_authorized,0.1,7,True,0.0,0.001987,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,ancestor_descendant_still_authorized,0.1,8,True,0.0,0.001205,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,ancestor_descendant_still_authorized,0.1,9,True,0.0,0.00259,own-effective-view,62,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.2,0,False,0.0,0.007881,revoked-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.2,1,False,0.0,0.01049,revoked-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.2,2,False,0.0,0.009608,revoked-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.2,3,False,0.0,0.0071,revoked-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.2,4,False,0.0,0.008794,revoked-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.2,5,False,0.0,0.009411,revoked-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.2,6,False,0.0,0.008505,revoked-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.2,7,False,0.0,0.004023,revoked-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.2,8,False,0.0,0.007807,revoked-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,revoked_user,0.2,9,False,0.0,0.006946,revoked-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.2,0,True,0.0,0.002948,own-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.2,1,True,0.0,0.002426,own-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.2,2,True,0.0,0.000558,own-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.2,3,True,0.0,0.002271,own-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.2,4,True,0.0,0.003079,own-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.2,5,True,0.0,0.0,own-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.2,6,True,0.0,0.002101,own-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.2,7,True,0.0,0.001613,own-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.2,8,True,0.0,0.001049,own-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,same_role_still_authorized,0.2,9,True,0.0,0.001369,own-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,different_role_still_authorized,0.2,0,True,0.0,0.004111,own-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,different_role_still_authorized,0.2,1,True,0.0,0.000434,own-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,different_role_still_authorized,0.2,2,True,0.0,0.00095,own-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,different_role_still_authorized,0.2,3,True,0.0,0.0,own-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,different_role_still_authorized,0.2,4,True,0.0,0.00245,own-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,different_role_still_authorized,0.2,5,True,0.0,0.001936,own-effective-view,102,1.0
LegalBench-RAG,1200000,1200000,pure-per-role-overlay,role-level,different_role_still_authorized,0.2,6,True,0.0,0.000642,own-effective-view,102,1.0
